test_id,generations_config,pop_size,algorithm,generation,median_fitness,q1_fitness,q3_fitness,n_runs
1.1,200,100,eml_ssc,158,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,159,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,160,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,161,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,162,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,163,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,164,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,165,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,166,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,167,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,168,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,169,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,170,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,171,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,172,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,173,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,174,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,175,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,176,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,177,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,178,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,179,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,180,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,181,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,182,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,183,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,184,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,185,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,186,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,187,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,188,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,189,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,190,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,191,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,192,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,193,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,194,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,195,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,196,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,197,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,198,0.0,0.0,0.0,30
1.1,200,100,eml_ssc,199,0.0,0.0,0.0,30
1.2,200,100,std_std,0,0.0,0.0,0.2770625,30
1.2,200,100,std_std,1,0.0,0.0,0.0,30
1.2,200,100,std_std,2,0.0,0.0,0.0,30
1.2,200,100,eml_std,0,1.188604,1.07782925,1.8480335,30
1.2,200,100,eml_std,1,0.6816789999999999,0.5875105,0.78553425,30
1.2,200,100,eml_std,2,0.629613,0.0031175,0.73368375,30
1.2,200,100,eml_std,3,0.6209555,0.0005915,0.73368375,30
1.2,200,100,eml_std,4,0.001729,0.00043149999999999997,0.63388825,30
1.2,200,100,eml_std,5,0.0006255,1.725e-05,0.07996175,30
1.2,200,100,eml_std,6,0.000144,0.0,0.005653,30
1.2,200,100,eml_std,7,0.0,0.0,0.00032725,30
1.2,200,100,eml_std,8,0.0,0.0,0.00032175,30
1.2,200,100,eml_std,9,0.0,0.0,0.000204,30
1.2,200,100,eml_std,10,0.0,0.0,0.000139,30
1.2,200,100,eml_std,11,0.0,0.0,2.7e-05,30
1.2,200,100,eml_std,12,0.0,0.0,1.2499999999999999e-05,30
1.2,200,100,eml_std,13,0.0,0.0,1.2499999999999999e-05,30
1.2,200,100,eml_std,14,0.0,0.0,1.2499999999999999e-05,30
